year,make,fastest_lap_speed
2014,Ferrari,196.038
2020,Ferrari,215.019
2024,Ferrari,219.785
2015,Ferrari,198.082
2018,Ferrari,210.272
2021,Ferrari,214.126
2023,Ferrari,211.372
2016,Ferrari,199.457
2017,Ferrari,209.656
2019,Ferrari,210.691
2022,Ferrari,208.884
2020,McLaren,216.025
2018,McLaren,206.369
2021,McLaren,212.361
2017,McLaren,202.731
2022,McLaren,206.145
2016,McLaren,197.593
2023,McLaren,210.315
2015,McLaren,191.905
2024,McLaren,219.438
2014,McLaren,195.665
2019,McLaren,206.62
2021,Mercedes,214.687
2023,Mercedes,212.369
2020,Mercedes,221.897
2024,Mercedes,218.42
2022,Mercedes,207.67
2019,Mercedes,212.562
2014,Mercedes,197.106
2018,Mercedes,211.069
2015,Mercedes,199.901
2016,Mercedes,202.112
2017,Mercedes,209.121
2019,Red Bull,209.905
2014,Red Bull,194.863
2023,Red Bull,214.493
2015,Red Bull,196.579
2022,Red Bull,209.187
2024,Red Bull,219.608
2016,Red Bull,200.285
2021,Red Bull,214.64
2017,Red Bull,208.411
2020,Red Bull,219.36
2018,Red Bull,210.604
2016,Williams,198.329
2017,Williams,205.392
2022,Williams,203.397
2015,Williams,195.536
2020,Williams,213.583
2023,Williams,209.86
2014,Williams,195.327
2018,Williams,206.128
2019,Williams,205.015
2021,Williams,208.664
2024,Williams,215.266
