constructor_id,make
1,McLaren
2,BMW Sauber
3,Williams
4,Renault
5,Toro Rosso
6,Ferrari
7,Toyota
8,Super Aguri
9,Red Bull
10,Force India
11,Honda
12,Spyker
13,MF1
14,Spyker MF1
15,Sauber
16,BAR
17,Jordan
18,Minardi
19,Jaguar
20,Prost
21,Arrows
22,Benetton
23,Brawn
24,Stewart
25,Tyrrell
26,Lola
27,Ligier
28,Forti
29,Footwork
30,Pacific
31,Simtek
32,Team Lotus
33,Larrousse
34,Brabham
35,Dallara
36,Fondmetal
37,March
38,Andrea Moda
39,AGS
40,Lambo
41,Leyton House
42,Coloni
44,Euro Brun
45,Osella
46,Onyx
47,Life
48,Rial
49,Zakspeed
50,RAM
51,Alfa Romeo
52,Spirit
53,Toleman
54,ATS
55,Theodore
56,Fittipaldi
57,Ensign
58,Shadow
59,Wolf
60,Merzario
61,Kauhsen
62,Rebaque
63,Surtees
64,Hesketh
65,Martini
66,BRM
67,Penske
68,LEC
69,McGuire
70,Boro
71,Apollon
72,Kojima
73,Parnelli
74,Maki
75,Embassy Hill
76,Lyncar
77,Trojan
78,Amon
79,Token
80,Iso Marlboro
81,Tecno
82,Matra
83,Politoys
84,Connew
85,Bellasi
86,De Tomaso
87,Cooper
88,Eagle
89,LDS
90,Protos
91,Shannon
92,Scirocco
93,RE
94,BRP
95,Porsche
96,Derrington
97,Gilby
98,Stebro
99,Emeryson
100,ENB
101,JBW
102,Ferguson
103,MBM
104,Behra-Porsche
105,Maserati
106,Scarab
107,Watson
108,Epperly
109,Phillips
110,Lesovsky
111,Trevis
112,Meskowski
113,Kurtis Kraft
114,Kuzma
115,Christensen
116,Ewing
117,Aston Martin
118,Vanwall
119,Moore
120,Dunn
121,Elder
122,Sutton
123,Fry
124,Tec-Mec
125,Connaught
126,Alta
127,OSCA
128,Gordini
129,Stevens
130,Bugatti
131,Mercedes
132,Lancia
133,HWM
134,Schroeder
135,Pawl
136,Pankratz
137,Arzani-Volpini
138,Nichels
139,Bromme
140,Klenk
141,Simca
142,Turner
143,Del Roy
144,Veritas
145,BMW
146,EMW
147,AFM
148,Frazer Nash
149,Sherman
150,Deidt
151,ERA
152,Aston Butterworth
153,Cisitalia
154,Talbot-Lago
155,Hall
156,Marchese
157,Langley
158,Rae
159,Olson
160,Wetteroth
161,Adams
162,Snowberger
163,Milano
164,HRT
167,Cooper-Maserati
166,Virgin
168,Cooper-OSCA
169,Cooper-Borgward
170,Cooper-Climax
171,Cooper-Castellotti
172,Lotus-Climax
173,Lotus-Maserati
174,De Tomaso-Osca
175,De Tomaso-Alfa Romeo
176,Lotus-BRM
177,Lotus-Borgward
178,Cooper-Alfa Romeo
179,De Tomaso-Ferrari
180,Lotus-Ford
181,Brabham-BRM
182,Brabham-Ford
183,Brabham-Climax
184,LDS-Climax
185,LDS-Alfa Romeo
186,Cooper-Ford
187,McLaren-Ford
188,McLaren-Serenissima
189,Eagle-Climax
190,Eagle-Weslake
191,Brabham-Repco
192,Cooper-Ferrari
193,Cooper-ATS
194,McLaren-BRM
195,Cooper-BRM
196,Matra-Ford
197,BRM-Ford
198,McLaren-Alfa Romeo
199,March-Alfa Romeo
200,March-Ford
201,Lotus-Pratt &amp; Whitney
202,Shadow-Ford
203,Shadow-Matra
204,Brabham-Alfa Romeo
205,Lotus
206,Marussia
207,Caterham
208,Lotus F1
209,Manor Marussia
210,Haas F1 Team
211,Racing Point
213,AlphaTauri
214,Alpine F1 Team
215,RB F1 Team
